block,plot,bg,location,plants,seeds,im tillers,diseased,notes
8,2,S_Phigh,sub1,,4,,,
8,2,S_Phigh,sub1,,2,,,
8,2,S_Phigh,sub1,,12,,,
8,2,S_Phigh,sub1,,4,,,
8,2,S_Phigh,sub1,,4,,,
8,2,S_Phigh,sub1,,2,,,
8,2,S_Phigh,sub1,,3,,,
8,2,S_Phigh,sub1,,9,,,
8,2,S_Phigh,sub2,2,2,,,
8,2,S_Phigh,sub2,,1,,,
8,3,A_high,sub1,13,4,,,
8,3,A_high,sub1,,,,1,
8,3,A_high,sub1,,0,1,,
8,3,A_high,sub1,,,,1,
8,3,A_high,sub1,,2,,,
8,3,A_high,sub1,,0,1,,
8,3,A_high,sub1,,4,,,
8,3,A_high,sub1,,0,1,,
8,3,A_high,sub1,,0,1,,
8,3,A_high,sub1,,1,,,
8,3,A_high,sub1,,2,,,
8,3,A_high,sub1,,2,,,
8,3,A_high,sub1,,0,1,,
8,3,A_high,sub2,39,2,,,
8,3,A_high,sub2,,2,,,
8,3,A_high,sub2,,2,,,
8,3,A_high,sub2,,1,,,
8,3,A_high,sub2,,1,,,
8,3,A_high,sub2,,2,,,
8,3,A_high,sub2,,1,,,
8,3,A_high,sub2,,3,,,
8,3,A_high,sub2,,2,,,
8,3,A_high,sub2,,1,,,
8,3,A_high,sub2,,1,,,
8,3,A_high,sub2,,1,,,
8,3,A_high,sub2,,4,,,
8,3,A_high,sub2,,2,,,
8,3,A_high,sub2,,4,,,
8,3,A_high,sub2,,2,,,
8,4,control,sub1,12,11,,,
8,4,control,sub1,,6,,,
8,4,control,sub1,,5,,,
8,4,control,sub1,,3,,,
8,4,control,sub1,,7,,,
8,4,control,sub1,,3,,,
8,4,control,sub1,,4,,,
8,4,control,sub1,,3,,,
8,4,control,sub1,,7,,,
8,4,control,sub1,,3,,,
8,4,control,sub1,,1,,,
8,4,control,sub1,,1,,,
8,4,control,sub2,10,3,,,
8,4,control,sub2,,2,,,
8,4,control,sub2,,2,,,
8,4,control,sub2,,1,,,
8,4,control,sub2,,4,,,
8,4,control,sub2,,3,,,
8,4,control,sub2,,4,,,
8,4,control,sub2,,3,,,
8,4,control,sub2,,4,,,
8,4,control,sub2,,4,,,
8,6,S_Plow,sub1,6,2,,,
8,6,S_Plow,sub1,,2,,,
8,6,S_Plow,sub1,,2,,,
8,6,S_Plow,sub1,,3,,,
8,6,S_Plow,sub1,,4,,,
8,6,S_Plow,sub1,,3,,,
8,6,S_Plow,sub2,21,6,,,
8,6,S_Plow,sub2,,4,,,
8,6,S_Plow,sub2,,2,,,
8,6,S_Plow,sub2,,7,,,
